,Name,playerid,league,FavoriteRace
0,SRHarstem,10114147,Bronze 1,PROTOSS
1,Prime,469653,Bronze 1,PROTOSS
2,Ottis,5354845,Bronze 1,ZERG
3,MiT,1865884,Bronze 1,ZERG
4,Stevie,3756640,Bronze 1,TERRAN
5,Stone,8544681,Bronze 1,TERRAN
6,miles,1807643,Bronze 1,PROTOSS
7,Pacool,1338016,Bronze 1,PROTOSS
8,Mumbles,9805771,Bronze 1,TERRAN
9,WhoseThat,8275602,Bronze 1,TERRAN
10,Cilius,9556296,Bronze 1,ZERG
11,Zudi,6754591,Bronze 1,TERRAN
12,Masuma,2238949,Bronze 1,PROTOSS
13,Hayanh,6476814,Bronze 1,TERRAN
14,ksbiv,7135120,Bronze 1,RANDOM
15,guigugi,5033499,Bronze 1,PROTOSS
16,Zapolzaylo,9953206,Bronze 1,ZERG
17,aziz,2327032,Bronze 1,ZERG
18,GunMetalGrey,4396869,Bronze 1,ZERG
19,MDTzSasuke,699168,Bronze 1,ZERG
20,Sammy,2591900,Bronze 1,ZERG
21,WhySoSerious,290960,Bronze 1,RANDOM
22,CrispyAndy,5263062,Bronze 1,PROTOSS
23,Zergino,583809,Bronze 1,PROTOSS
24,ChrisNomf,2320551,Bronze 1,ZERG
25,asclimb,9034920,Bronze 1,ZERG
26,ZalamiVan,9759295,Bronze 1,PROTOSS
27,Tzotopia,1609089,Bronze 1,ZERG
28,garribaldi,2146615,Bronze 1,TERRAN
29,CinqDemi,10166017,Bronze 1,ZERG
30,iOwl,6724001,Bronze 1,ZERG
31,ironstorm,1012159,Bronze 1,PROTOSS
32,Barktooth,1508809,Bronze 1,RANDOM
33,qooqoo,8797953,Bronze 1,RANDOM
34,zidan,8221191,Bronze 1,ZERG
35,Parf,7409310,Bronze 1,TERRAN
36,DANIILLO,6302885,Bronze 1,TERRAN
37,Goralem,150729,Bronze 1,PROTOSS
38,PMmisi,2450530,Bronze 1,PROTOSS
39,Mougdefre,9469610,Bronze 1,ZERG
40,Billy,8678373,Bronze 1,PROTOSS
41,AngryZerlinG,1205778,Bronze 1,ZERG
42,Ares,3420482,Bronze 1,PROTOSS
43,Chrustik,10025390,Bronze 1,TERRAN
44,Serenic,244513,Bronze 1,TERRAN
45,MARVEL,210224,Bronze 1,RANDOM
46,Evence,1529117,Bronze 1,PROTOSS
47,Gabrio,7427461,Bronze 1,RANDOM
48,Brewsinker,1645854,Bronze 1,TERRAN
49,aTaN,1794077,Bronze 1,TERRAN
50,Matt,2021901,Bronze 1,RANDOM
51,Нокс,10005012,Bronze 1,TERRAN
52,TöbbN,3806720,Bronze 1,ZERG
53,reoxx,191335,Bronze 1,TERRAN
54,ЖанМарко,97925,Bronze 1,PROTOSS
55,Gunbus,687831,Bronze 1,PROTOSS
56,FadedBNTND,5706174,Bronze 1,TERRAN
57,Belazior,1281798,Bronze 1,ZERG
58,Crystal,407441,Bronze 1,TERRAN
59,КРАБ,2335435,Bronze 1,RANDOM
60,Xander,1897145,Bronze 1,ZERG
61,Kreischer,2597280,Bronze 1,ZERG
62,SuLTaN,232280,Bronze 1,RANDOM
63,SweetJusTiCe,2005277,Bronze 1,TERRAN
64,lobo,9670894,Bronze 1,ZERG
65,Kerry,4272403,Bronze 1,PROTOSS
66,Ksv,201653,Bronze 1,ZERG
67,THAO,3086024,Bronze 1,ZERG
68,synka,4494310,Bronze 1,TERRAN
69,kingslayer,5000322,Bronze 1,TERRAN
70,Aiur,8401641,Bronze 1,ZERG
71,SPBSALUT,10161901,Bronze 1,PROTOSS
72,Graphic,5747993,Bronze 1,ZERG
73,Yukino,10250040,Bronze 1,ZERG
74,styret,3417922,Bronze 1,PROTOSS
75,Karmondia,8336541,Bronze 1,ZERG
76,nuke,6098934,Bronze 1,TERRAN
77,Agni,77084,Bronze 1,PROTOSS
78,KateLockwell,5899619,Bronze 1,ZERG
79,Kogart,7687569,Bronze 1,TERRAN
80,Vagnerlove,8956200,Bronze 1,PROTOSS
81,Robbelibob,275492,Bronze 1,TERRAN
82,Logic,304022,Bronze 1,TERRAN
83,badizzz,318683,Bronze 1,ZERG
84,Hitchslap,8399291,Bronze 1,RANDOM
85,Rob,8300738,Bronze 1,TERRAN
86,Призрак,1936007,Bronze 1,PROTOSS
87,Jakkul,807387,Bronze 1,RANDOM
88,JimDiesel,9326239,Bronze 1,ZERG
89,PCS,10214201,Bronze 1,TERRAN
90,DroneScout,7386007,Bronze 1,TERRAN
91,empty,3906826,Bronze 1,ZERG
92,ugabugIaner,9395701,Bronze 1,TERRAN
93,WMS,10242508,Bronze 1,TERRAN
94,IIIIII,10078209,Bronze 1,RANDOM
