,Name,playerid,league,FavoriteRace
0,천천히오세요,1650888,Bronze 1,TERRAN
1,도령님,7095092,Bronze 1,PROTOSS
2,IIIIIIIIIIII,203478,Bronze 1,ZERG
3,John,292381,Bronze 1,TERRAN
4,셜록,7025502,Bronze 1,ZERG
5,陳大俠,7162409,Bronze 1,TERRAN
6,Anguschen,1761552,Bronze 1,ZERG
7,IlIlIllllIlI,4654009,Bronze 1,TERRAN
8,랑게르한,3913932,Bronze 1,ZERG
9,도령님,7095092,Bronze 1,TERRAN
10,RobinLiuLK,1769496,Bronze 1,PROTOSS
11,pepetan,7463113,Bronze 1,TERRAN
12,싸울아비,1129793,Bronze 1,ZERG
13,쿵쾅이,4845368,Bronze 1,TERRAN
14,HELLO,7436137,Bronze 1,TERRAN
15,gghz,4027542,Bronze 1,PROTOSS
16,무증상자,527522,Bronze 1,TERRAN
17,이천사,3423026,Bronze 1,PROTOSS
18,지우,7268141,Bronze 1,TERRAN
19,셜록,7025502,Bronze 1,TERRAN
20,懂懂兒,7576096,Bronze 1,ZERG
21,喷火龍,7306149,Bronze 1,PROTOSS
22,김시현,4076677,Bronze 1,ZERG
23,힐러,4821799,Bronze 1,TERRAN
24,죽순의그림자,7556940,Bronze 1,TERRAN
25,hiper,7192502,Bronze 1,TERRAN
26,mjklsk,6009038,Bronze 1,PROTOSS
27,강이,7621405,Bronze 1,TERRAN
28,plat,7432639,Bronze 1,PROTOSS
29,미나리파워,797702,Bronze 1,TERRAN
30,소리호리,6523112,Bronze 1,TERRAN
31,무적의테란,7087005,Bronze 1,ZERG
32,카르텔,7551852,Bronze 1,PROTOSS
33,아이,7365005,Bronze 1,TERRAN
34,셜록,7025502,Bronze 1,RANDOM
35,JameSunland,6334015,Bronze 1,ZERG
36,라리어라이센스,7293259,Bronze 1,PROTOSS
37,정경석,6550979,Bronze 1,TERRAN
38,머리조심,6261376,Bronze 1,TERRAN
39,조민제,7006465,Bronze 1,TERRAN
40,박지수,4739951,Bronze 1,ZERG
41,제우스,511058,Bronze 1,TERRAN
42,싸울아비,1129793,Bronze 1,PROTOSS
43,HyperGenesis,4443045,Bronze 1,TERRAN
44,Jondalitas,7599549,Bronze 1,TERRAN
45,노려가는중임,5856131,Bronze 1,TERRAN
46,Menny,804788,Bronze 1,ZERG
47,사뮈의난춘,4508544,Bronze 1,TERRAN
48,괴물,3358552,Bronze 1,TERRAN
49,regionsibir,4517097,Bronze 1,TERRAN
50,LAYON,6902164,Bronze 1,TERRAN
51,Pagliacci,1560778,Bronze 1,TERRAN
52,yjlee,7434023,Bronze 1,TERRAN
53,BOBOST,7517375,Bronze 1,PROTOSS
54,wonsa,721761,Bronze 1,ZERG
55,멀꼴아바,3752314,Bronze 1,PROTOSS
56,그름,393756,Bronze 1,PROTOSS
57,보성녹차,7482685,Bronze 1,PROTOSS
58,jbomb,1651505,Bronze 1,RANDOM
59,이건아니지않냐,7410434,Bronze 1,ZERG
60,의사양반,1011450,Bronze 1,TERRAN
61,싸울아비,1129793,Bronze 1,TERRAN
62,호나우지뉴,92583,Bronze 1,TERRAN
63,atcw,7588361,Bronze 1,PROTOSS
64,내가잘할수있을까,2608608,Bronze 1,ZERG
65,테란,7412371,Bronze 1,ZERG
66,yjh,5852571,Bronze 1,ZERG
67,KTIGERS,5407114,Bronze 1,PROTOSS
68,세르,4038166,Bronze 1,TERRAN
69,Night,863087,Bronze 1,TERRAN
70,왕철이,1649224,Bronze 1,PROTOSS
71,lililili,6964999,Bronze 1,RANDOM
72,mjklsk,6009038,Bronze 1,ZERG
73,FatiS,7491596,Bronze 1,TERRAN
74,殘缺豆花,1684058,Bronze 1,TERRAN
75,jambo,5861767,Bronze 1,PROTOSS
76,이누키,6010482,Bronze 1,PROTOSS
77,快樂爪,391956,Bronze 1,RANDOM
78,오빈예,786983,Bronze 1,PROTOSS
79,보라준,975242,Bronze 1,PROTOSS
80,keo,6265664,Bronze 1,TERRAN
81,胡小胖,1759940,Bronze 1,RANDOM
82,IIIIIIIIIII,5354610,Bronze 1,PROTOSS
83,BuenCamino,7411733,Bronze 1,PROTOSS
84,jkw,5476052,Bronze 1,TERRAN
85,이지,7014953,Bronze 1,ZERG
86,초보,7244546,Bronze 1,TERRAN
87,gookbob,7543609,Bronze 1,ZERG
88,blueshark,6001850,Bronze 1,ZERG
89,海神波波,7236597,Bronze 1,TERRAN
90,청춘이라,7177091,Bronze 1,TERRAN
91,天下無敵,571818,Bronze 1,TERRAN
92,choechan,6943472,Bronze 1,RANDOM
93,핀지플라워,3152383,Bronze 1,PROTOSS
94,Anguschen,1761552,Bronze 1,TERRAN
95,GiantDwarf,5137397,Bronze 1,PROTOSS
96,꿀빵,6077624,Bronze 1,TERRAN
97,어둠의하이에나,6362855,Bronze 1,PROTOSS
98,귀연다캉시,6870558,Bronze 1,TERRAN
99,Saltenio,7357842,Bronze 1,ZERG
100,start,6003485,Bronze 1,TERRAN
101,企鵝老司機,7325411,Bronze 1,PROTOSS
102,spada,7247101,Bronze 1,PROTOSS
103,Grrrr,4411783,Bronze 1,RANDOM
104,Deadspecial,7000925,Bronze 1,ZERG
105,Deadspecial,7000925,Bronze 1,TERRAN
106,黑之王,7597478,Bronze 1,TERRAN
107,차니프로,6485069,Bronze 1,TERRAN
108,Barton,1619336,Bronze 1,TERRAN
109,Teemo,1565390,Bronze 1,TERRAN
110,사랑노래에,1838565,Bronze 1,TERRAN
111,백호,4392778,Bronze 1,PROTOSS
112,전술오함마,7418006,Bronze 1,TERRAN
113,ldwsun,7324779,Bronze 1,PROTOSS
114,임베임베,5394439,Bronze 1,PROTOSS
115,plat,7432639,Bronze 1,TERRAN
116,형이다,4723263,Bronze 1,TERRAN
117,ghost,5292878,Bronze 1,TERRAN
118,Nemora,5897412,Bronze 1,PROTOSS
119,GOLDTOPKING,7483827,Bronze 1,PROTOSS
120,경범,5929998,Bronze 1,TERRAN
121,알코미,4871912,Bronze 1,ZERG
122,달을사랑한별,489546,Bronze 1,TERRAN
123,Jamesclock,877947,Bronze 1,ZERG
124,LENIX,7004693,Bronze 1,TERRAN
125,oBlackEYEo,2265509,Bronze 1,ZERG
126,앙리는영원하다,5071489,Bronze 1,TERRAN
127,브론즈수문장,7597432,Bronze 1,TERRAN
128,greatinah,7525823,Bronze 1,TERRAN
129,Superherobla,7450942,Bronze 1,PROTOSS
130,SEBIN,3664013,Bronze 1,TERRAN
131,marketwizard,1049495,Bronze 1,PROTOSS
132,tag,6242756,Bronze 1,TERRAN
133,딜러,100507,Bronze 1,PROTOSS
134,justanoob,7457999,Bronze 1,ZERG
135,IIIIIIIIIII,7491263,Bronze 1,TERRAN
136,배가고프다,2892342,Bronze 1,TERRAN
137,안산스완유저,1754940,Bronze 1,TERRAN
138,白海馬,673719,Bronze 1,TERRAN
139,사랑노래에,1838565,Bronze 1,PROTOSS
140,복숭숭,7550864,Bronze 1,TERRAN
141,lllllll,5786198,Bronze 1,TERRAN
142,PrimariusD,7590823,Bronze 1,TERRAN
143,엑조디아,4964170,Bronze 1,ZERG
144,zero,7238068,Bronze 1,PROTOSS
145,미니미니,7124792,Bronze 1,TERRAN
146,DarkTemplar,6634632,Bronze 1,PROTOSS
147,Renegade,7501063,Bronze 1,TERRAN
148,인간변기,6914711,Bronze 1,TERRAN
149,upyours,4613752,Bronze 1,TERRAN
150,dajiba,7601960,Bronze 1,ZERG
151,nong,7578889,Bronze 1,PROTOSS
152,水獺,7298278,Bronze 1,ZERG
