,0,1,2,3
0,247317,Bronze,1,eu
1,247244,Bronze,1,eu
2,247114,Bronze,1,eu
3,246926,Bronze,1,eu
4,248196,Bronze,1,eu
5,248110,Bronze,1,eu
6,247977,Bronze,1,eu
7,247843,Bronze,1,eu
8,248636,Bronze,1,eu
9,248536,Bronze,1,eu
10,248376,Bronze,1,eu
11,248244,Bronze,1,eu
12,248406,Bronze,1,eu
13,248859,Bronze,1,eu
14,247326,Bronze,1,eu
15,247203,Bronze,1,eu
16,247077,Bronze,1,eu
17,246986,Bronze,1,eu
18,247553,Bronze,1,eu
19,248205,Bronze,1,eu
20,248063,Bronze,1,eu
21,247853,Bronze,1,eu
22,248651,Bronze,1,eu
23,248489,Bronze,1,eu
24,248389,Bronze,1,eu
25,247214,Bronze,1,eu
26,247053,Bronze,1,eu
27,247756,Bronze,1,eu
28,247671,Bronze,1,eu
29,247561,Bronze,1,eu
30,247436,Bronze,1,eu
31,248165,Bronze,1,eu
32,248072,Bronze,1,eu
33,248623,Bronze,1,eu
34,248344,Bronze,1,eu
35,247162,Bronze,1,eu
36,247636,Bronze,1,eu
37,247445,Bronze,1,eu
38,248144,Bronze,1,eu
39,248020,Bronze,1,eu
40,247939,Bronze,1,eu
41,247829,Bronze,1,eu
42,248583,Bronze,1,eu
43,248454,Bronze,1,eu
44,248782,Bronze,1,eu
45,248229,Bronze,1,eu
46,248850,Bronze,1,eu
47,247356,Bronze,1,eu
48,247291,Bronze,1,eu
49,247030,Bronze,1,eu
50,247648,Bronze,1,eu
51,247511,Bronze,1,eu
52,247410,Bronze,1,eu
53,248156,Bronze,1,eu
54,248041,Bronze,1,eu
55,247897,Bronze,1,eu
56,247788,Bronze,1,eu
57,248596,Bronze,1,eu
58,248428,Bronze,1,eu
59,247253,Bronze,1,eu
60,247133,Bronze,1,eu
61,247744,Bronze,1,eu
62,247605,Bronze,1,eu
63,247527,Bronze,1,eu
64,248120,Bronze,1,eu
65,247907,Bronze,1,eu
66,248675,Bronze,1,eu
67,248870,Bronze,1,eu
68,248443,Bronze,1,eu
69,248328,Bronze,1,eu
70,247151,Bronze,1,eu
71,247106,Bronze,1,eu
72,247722,Bronze,1,eu
73,247489,Bronze,1,eu
74,248136,Bronze,1,eu
75,247861,Bronze,1,eu
76,248823,Bronze,1,eu
77,248398,Bronze,1,eu
78,248558,Bronze,1,eu
79,248276,Bronze,1,eu
