,0,1,2,3
0,CROarmy,3540911,Bronze 1,TERRAN
1,KROK,536816,Bronze 1,TERRAN
2,RAIDER,10069068,Bronze 1,TERRAN
3,Zot,2485637,Bronze 1,PROTOSS
4,VoidMarine,10204757,Bronze 1,ZERG
5,Arsen,7211799,Bronze 1,TERRAN
6,KenanD,9517932,Bronze 1,PROTOSS
7,STOK,2502425,Bronze 1,PROTOSS
8,KenanD,9517932,Bronze 1,TERRAN
9,Adonne,6533406,Bronze 1,TERRAN
10,IRobot,9937713,Bronze 1,TERRAN
11,jugy,9854369,Bronze 1,PROTOSS
12,Samihada,9498888,Bronze 1,PROTOSS
13,TaUrUsXXL,147327,Bronze 1,TERRAN
14,Bencsy,1732251,Bronze 1,PROTOSS
15,FreddyWolf,5189121,Bronze 1,ZERG
16,topowars,7713969,Bronze 1,TERRAN
17,coyNATION,9401899,Bronze 1,ZERG
18,Hulk,8826880,Bronze 1,TERRAN
19,PekarFat,9906622,Bronze 1,TERRAN
20,WonderfulGin,8224733,Bronze 1,ZERG
21,Adventure,2458267,Bronze 1,PROTOSS
22,TheEpicYuuum,5019640,Bronze 1,RANDOM
23,Drake,6664353,Bronze 1,TERRAN
24,hugouk,6363878,Bronze 1,TERRAN
25,Kiiroi,9789350,Bronze 1,PROTOSS
26,ТОРОСКОК,10103508,Bronze 1,ZERG
27,MisterS,8594495,Bronze 1,RANDOM
28,Bally,10112771,Bronze 1,PROTOSS
29,Ziffer,2041658,Bronze 1,RANDOM
30,RAA,9509030,Bronze 1,PROTOSS
31,Hagonata,2131144,Bronze 1,PROTOSS
32,ChiefBos,1373846,Bronze 1,TERRAN
33,racso,6184433,Bronze 1,TERRAN
34,asizep,10105954,Bronze 1,PROTOSS
35,Avanguardia,8456722,Bronze 1,TERRAN
36,Tarkha,10120277,Bronze 1,TERRAN
37,Guerrero,3090743,Bronze 1,ZERG
38,Morscerta,9071959,Bronze 1,ZERG
39,FABER,2278802,Bronze 1,RANDOM
40,GalaXerg,8441836,Bronze 1,TERRAN
41,Schleuse,9223448,Bronze 1,TERRAN
42,silarius,1425237,Bronze 1,PROTOSS
43,zed,7671077,Bronze 1,ZERG
44,WooKZz,6509027,Bronze 1,ZERG
45,trofia,1706756,Bronze 1,TERRAN
46,Denezz,6568697,Bronze 1,TERRAN
47,HanzImGlück,1422876,Bronze 1,ZERG
48,PappaSan,10030598,Bronze 1,PROTOSS
49,Papiermann,1110049,Bronze 1,ZERG
50,rohlikovec,9792676,Bronze 1,PROTOSS
51,lekhabut,2362592,Bronze 1,TERRAN
52,WhiteDragonX,5493001,Bronze 1,RANDOM
53,TOFFI,9916664,Bronze 1,ZERG
54,Megadudik,9198215,Bronze 1,ZERG
55,DragonArcher,2506998,Bronze 1,PROTOSS
56,notmarius,10047784,Bronze 1,TERRAN
57,xispado,3270435,Bronze 1,ZERG
58,Goldluffy,8580984,Bronze 1,TERRAN
59,Wechselhund,10151876,Bronze 1,TERRAN
60,ymrAokwoL,9372212,Bronze 1,TERRAN
61,ColaRush,10025337,Bronze 1,ZERG
62,Axel,9766068,Bronze 1,TERRAN
63,Unity,5437074,Bronze 1,ZERG
64,Kiloano,6426896,Bronze 1,ZERG
65,Zizo,6228423,Bronze 1,PROTOSS
66,cho,1055643,Bronze 1,ZERG
67,Momo,819913,Bronze 1,ZERG
68,Tankstelle,1367195,Bronze 1,RANDOM
69,Tartarus,10118260,Bronze 1,TERRAN
70,Oskar,8965178,Bronze 1,TERRAN
71,Demid,9829725,Bronze 1,TERRAN
72,Maaady,4578746,Bronze 1,PROTOSS
73,Zergling,10018368,Bronze 1,ZERG
74,Паха,28156,Bronze 1,ZERG
75,Trigrertiger,9427000,Bronze 1,ZERG
76,Coolkilya,2253986,Bronze 1,ZERG
77,kankiparoni,9076822,Bronze 1,ZERG
78,soga,6508118,Bronze 1,TERRAN
79,Tassadar,3782661,Bronze 1,TERRAN
80,Devastator,3328261,Bronze 1,PROTOSS
81,jack,3909117,Bronze 1,TERRAN
82,RADIOACTIVE,9759101,Bronze 1,TERRAN
83,Redlms,3347551,Bronze 1,ZERG
84,Doovey,7683739,Bronze 1,TERRAN
85,Lothrich,8657060,Bronze 1,RANDOM
86,Zeratul,9407560,Bronze 1,TERRAN
87,Kokala,5361211,Bronze 1,PROTOSS
88,Streles,2173547,Bronze 1,PROTOSS
89,ZERGTVArtáni,6662872,Bronze 1,TERRAN
90,frogmaker,287221,Bronze 1,RANDOM
91,CelraK,9939248,Bronze 1,TERRAN
92,Heimdahl,10113260,Bronze 1,ZERG
