league,Match,Win Rate
Bronze 3,Z vs T,0.610294118
Bronze 2,Z vs T,0.523320107
Bronze 1,Z vs T,0.498776581
Silver 3,Z vs T,0.57808578
Silver 2,Z vs T,0.564816368
Silver 1,Z vs T,0.51247348
Gold 3,Z vs T,0.528901734
Gold 2,Z vs T,0.505415162
Gold 1,Z vs T,0.455703883
Platinum 3,Z vs T,0.425087108
Platinum 2,Z vs T,0.503680336
Platinum 1,Z vs T,0.484071769
Diamond 3,Z vs T,0.47755627
Diamond 2,Z vs T,0.4764
Diamond 1,Z vs T,0.481977718
Masters 3,Z vs T,0.474089636
Masters 2,Z vs T,0.467713787
Masters 1,Z vs T,0.454335017
Grandmaster,Z vs T,0.443478261
Bronze 3,T vs P,0.387755102
Bronze 2,T vs P,0.485848227
Bronze 1,T vs P,0.508176817
Silver 3,T vs P,0.441666667
Silver 2,T vs P,0.452449749
Silver 1,T vs P,0.499701943
Gold 3,T vs P,0.459214502
Gold 2,T vs P,0.545454545
Gold 1,T vs P,0.533986528
Platinum 3,T vs P,0.531007752
Platinum 2,T vs P,0.5
Platinum 1,T vs P,0.511906278
Diamond 3,T vs P,0.52545265
Diamond 2,T vs P,0.522082932
Diamond 1,T vs P,0.519733271
Masters 3,T vs P,0.522965726
Masters 2,T vs P,0.523938573
Masters 1,T vs P,0.54912598
Grandmaster,T vs P,0.607940447
Bronze 3,Z vs P,0.448717949
Bronze 2,Z vs P,0.519662008
Bronze 1,Z vs P,0.50065485
Silver 3,Z vs P,0.566875784
Silver 2,Z vs P,0.556889915
Silver 1,Z vs P,0.512804052
Gold 3,Z vs P,0.493464052
Gold 2,Z vs P,0.552447552
Gold 1,Z vs P,0.454598711
Platinum 3,Z vs P,0.5
Platinum 2,Z vs P,0.487103175
Platinum 1,Z vs P,0.492421247
Diamond 3,Z vs P,0.480364057
Diamond 2,Z vs P,0.478409487
Diamond 1,Z vs P,0.491037243
Masters 3,Z vs P,0.480093677
Masters 2,Z vs P,0.518942731
Masters 1,Z vs P,0.45303058
Grandmaster,Z vs P,0.385416667
